Suramericana,24,2023-05-09,20:27:21
Colombia,15,2023-05-09,20:27:21
Carlos E. Restrepo,4,2023-05-09,20:27:21
Suramericana,25,2023-05-09,20:28:11
Suramericana,26,2023-05-09,20:28:21
Suramericana,27,2023-05-09,20:28:31
Suramericana,26,2023-05-09,20:30:01
Carlos E. Restrepo,3,2023-05-09,20:30:01
Colombia,14,2023-05-09,20:31:01
Suramericana,25,2023-05-09,20:34:01
Suramericana,24,2023-05-09,20:34:41
Colombia,13,2023-05-09,20:37:32
Suramericana,23,2023-05-09,20:37:42
Colombia,14,2023-05-09,20:39:41
Suramericana,22,2023-05-09,20:39:51
Colombia,15,2023-05-09,20:43:51
Suramericana,34,2023-05-09,20:45:21
Suramericana,33,2023-05-09,20:46:01
Suramericana,34,2023-05-09,20:46:11
Suramericana,33,2023-05-09,20:46:31
Carlos E. Restrepo,2,2023-05-09,20:47:31
Suramericana,32,2023-05-09,20:49:31
Suramericana,34,2023-05-09,20:51:41
Colombia,16,2023-05-09,20:52:31
Colombia,17,2023-05-09,20:52:41
Colombia,3,2023-05-09,20:57:12
Carlos E. Restrepo,3,2023-05-09,21:02:21
Suramericana,48,2023-05-09,21:02:51
Suramericana,60,2023-05-09,21:07:31
Suramericana,59,2023-05-09,21:13:41
Suramericana,60,2023-05-09,21:15:22
Suramericana,61,2023-05-09,21:16:01
Suramericana,62,2023-05-09,21:16:41
Carlos E. Restrepo,0,2023-05-09,21:21:01
Suramericana,63,2023-05-09,21:26:02
Suramericana,62,2023-05-09,21:30:01
Suramericana,63,2023-05-09,21:34:51
Colombia,4,2023-05-09,21:39:21
Suramericana,62,2023-05-09,21:39:51
Suramericana,67,2023-05-09,21:55:41
Carlos E. Restrepo,1,2023-05-09,22:10:21
Suramericana,68,2023-05-09,22:16:11
Suramericana,69,2023-05-09,22:17:11
Suramericana,70,2023-05-09,22:20:01
Suramericana,71,2023-05-09,22:21:41
Suramericana,70,2023-05-09,22:50:41
Suramericana,69,2023-05-10,05:10:11
